elapsed_s,timestamp,raw,mv,phase,cycle_index
1.691,21:51:19.063,1158.0,992.0,exhale,1
1.713,21:51:19.085,1150.0,1006.0,exhale,1
1.734,21:51:19.106,1161.0,996.0,exhale,1
1.757,21:51:19.129,1159.0,995.0,exhale,1
1.779,21:51:19.151,1165.0,996.0,exhale,1
1.800,21:51:19.172,1160.0,995.0,exhale,1
1.825,21:51:19.197,1159.0,994.0,exhale,1
1.845,21:51:19.217,1158.0,986.0,exhale,1
1.867,21:51:19.238,1160.0,993.0,exhale,1
1.889,21:51:19.260,1165.0,993.0,exhale,1
1.911,21:51:19.283,1158.0,989.0,exhale,1
1.932,21:51:19.304,1153.0,989.0,exhale,1
1.955,21:51:19.327,1157.0,988.0,exhale,1
1.977,21:51:19.349,1153.0,988.0,exhale,1
1.999,21:51:19.371,1151.0,987.0,exhale,1
2.021,21:51:19.393,1150.0,986.0,exhale,1
2.042,21:51:19.414,1148.0,988.0,exhale,1
2.064,21:51:19.436,1152.0,986.0,exhale,1
2.086,21:51:19.458,1151.0,988.0,exhale,1
2.108,21:51:19.480,1156.0,987.0,exhale,1
2.131,21:51:19.502,1152.0,989.0,exhale,1
2.152,21:51:19.524,1156.0,987.0,exhale,1
2.174,21:51:19.546,1155.0,992.0,exhale,1
2.205,21:51:19.577,1154.0,1004.0,exhale,1
2.218,21:51:19.590,1149.0,990.0,exhale,1
2.240,21:51:19.612,1158.0,994.0,exhale,1
2.262,21:51:19.634,1156.0,998.0,exhale,1
2.284,21:51:19.656,1152.0,991.0,exhale,1
2.306,21:51:19.678,1159.0,989.0,exhale,1
2.328,21:51:19.700,1159.0,992.0,exhale,1
2.350,21:51:19.722,1160.0,995.0,exhale,1
2.372,21:51:19.744,1151.0,993.0,exhale,1
2.395,21:51:19.767,1161.0,999.0,exhale,1
2.417,21:51:19.788,1159.0,984.0,exhale,1
2.438,21:51:19.810,1157.0,996.0,exhale,1
2.461,21:51:19.832,1147.0,997.0,exhale,1
2.482,21:51:19.854,1160.0,997.0,exhale,1
2.505,21:51:19.876,1163.0,995.0,exhale,1
2.527,21:51:19.899,1159.0,1006.0,exhale,1
2.548,21:51:19.920,1163.0,998.0,exhale,1
2.570,21:51:19.942,1163.0,999.0,exhale,1
2.592,21:51:19.964,1163.0,999.0,exhale,1
2.614,21:51:19.986,1164.0,1001.0,exhale,1
2.637,21:51:20.009,1166.0,998.0,exhale,1
2.659,21:51:20.031,1175.0,1009.0,exhale,1
2.681,21:51:20.053,1175.0,1001.0,exhale,1
2.703,21:51:20.075,1168.0,1006.0,exhale,1
2.725,21:51:20.097,1172.0,1004.0,exhale,1
2.746,21:51:20.118,1171.0,1006.0,exhale,1
2.769,21:51:20.141,1170.0,1006.0,exhale,1
2.791,21:51:20.163,1172.0,1008.0,exhale,1
2.813,21:51:20.185,1177.0,1005.0,exhale,1
2.835,21:51:20.207,1181.0,1009.0,exhale,1
2.857,21:51:20.229,1176.0,1008.0,exhale,1
2.879,21:51:20.251,1177.0,1016.0,exhale,1
2.901,21:51:20.273,1175.0,1008.0,exhale,1
2.925,21:51:20.297,1174.0,1011.0,exhale,1
2.945,21:51:20.317,1174.0,1008.0,exhale,1
2.967,21:51:20.339,1175.0,1006.0,exhale,1
2.989,21:51:20.361,1172.0,1009.0,exhale,1
3.011,21:51:20.383,1173.0,1007.0,exhale,1
3.033,21:51:20.405,1171.0,998.0,exhale,1
3.055,21:51:20.427,1175.0,1002.0,exhale,1
3.077,21:51:20.449,1171.0,1000.0,exhale,1
3.099,21:51:20.471,1170.0,1007.0,exhale,1
3.121,21:51:20.493,1182.0,1001.0,exhale,1
3.143,21:51:20.515,1169.0,1003.0,exhale,1
3.165,21:51:20.537,1170.0,1003.0,exhale,1
3.187,21:51:20.559,1178.0,1004.0,exhale,1
3.209,21:51:20.581,1169.0,1001.0,exhale,1
3.231,21:51:20.603,1167.0,1001.0,exhale,1
3.252,21:51:20.624,1169.0,999.0,exhale,1
3.275,21:51:20.647,1167.0,999.0,exhale,1
3.297,21:51:20.669,1168.0,1002.0,exhale,1
3.319,21:51:20.691,1171.0,1000.0,exhale,1
3.341,21:51:20.713,1167.0,999.0,exhale,1
3.362,21:51:20.734,1165.0,999.0,exhale,1
3.385,21:51:20.757,1164.0,1001.0,exhale,1
3.407,21:51:20.779,1163.0,997.0,exhale,1
3.429,21:51:20.801,1163.0,995.0,exhale,1
3.450,21:51:20.822,1161.0,997.0,exhale,1
3.473,21:51:20.845,1162.0,995.0,exhale,1
3.495,21:51:20.867,1162.0,994.0,exhale,1
3.517,21:51:20.888,1160.0,997.0,exhale,1
3.538,21:51:20.910,1158.0,997.0,exhale,1
3.561,21:51:20.933,1157.0,995.0,exhale,1
3.582,21:51:20.954,1157.0,990.0,exhale,1
3.605,21:51:20.977,1156.0,991.0,exhale,1
3.626,21:51:20.998,1155.0,991.0,exhale,1
3.649,21:51:21.021,1154.0,990.0,exhale,1
3.671,21:51:21.042,1154.0,991.0,exhale,1
3.692,21:51:21.064,1152.0,989.0,exhale,1
3.714,21:51:21.086,1163.0,990.0,exhale,1
3.736,21:51:21.108,1149.0,988.0,exhale,1
